S.No.,DISTRICT,Office Type,Office Name,Email Address (only NIC/ Gov email id),(CUG Number)
31,AGRA PS,,KHERAGARH,so-kheragarh.ag@up.gov.in,9454402742
32,AGRA PS,,KOTWALI,so-kotwali.ag@up.gov.in,9454402745
33,AGRA PS,,MANTOLA,so-mantola.ag@up.gov.in,9454402751
34,AGRA PS,,FATEHPUR SIKRI,so-fatehpursikri.ag@up.gov.in,9454402734
35,AGRA PS,,HARI PARVAT,so-hariparvat.ag@up.gov.in,9454402735
36,AGRA PS,,IRADAT NAGAR,so-iradatnagar.ag@up.gov.in,9454402736
37,AGRA PS,,JAGDISHPURA,so-jagdishpura.ag@up.gov.in,9454402737
38,AGRA PS,,JAGNER,so-jagner.ag@up.gov.in,9454402738
39,AGRA PS,,JAITPUR,so-jaitpur.ag@up.gov.in,9454402739
40,AGRA PS,,BASAI JAGNER,so-basaijagner.ag@up.gov.in,9454402727
41,AGRA PS,,DAUKI,so-dauki.ag@up.gov.in,9454402731
42,AGRA PS,,CHITRAHAT,so-chitrahat.ag@up.gov.in,9454402730
43,AGRA PS,,ETMADPUR,so-etmadpur.ag@up.gov.in,9454402732
44,AGRA PS,,ETMADDAULA,so-etmaddaula.ag@up.gov.in,9454402740
45,AGRA PS,,FATEHABAD,so-fatehabad.ag@up.gov.in,9454402733
46,ALIGARH PS,,AKRABAD,so-akrabad.al@up.gov.in,9454402772
47,ALIGARH PS,,ATRAULI,so-atrauli.al@up.gov.in,9454402773
48,ALIGARH PS,,BANNADEVI,so-bannadevi.al@up.gov.in,9454402774
49,ALIGARH PS,,BARLA,so-barla.al@up.gov.in,9454402775
50,ALIGARH PS,,CHANDAUS,so-chandaus.al@up.gov.in,9454402776
51,ALIGARH PS,,CIVIL LINES,so-civillines.al@up.gov.in,9454402778
52,ALIGARH PS,,SASNI GATE,so-sasnigate.al@up.gov.in,9454402795
53,ALIGARH PS,,TAPPAL,so-tappal.al@up.gov.in,9454402796
54,ALIGARH PS,,VIJAYGARH,so-vijaygarh.al@up.gov.in,9454402797
55,ALIGARH GRP PS,,GRP ALIGARH JUNCTION,so-grpjct.al@up.gov.in,9454404420
56,ALIGARH PS,,MAHUA KHEDA,so-mahuakheda.al@up.gov.in,8802202726
57,ALIGARH PS,,RORAVAR,so-roravar.al@up.gov.in,8171475967
58,ALIGARH PS,,QUARSI,so-quarsi.al@up.gov.in,9454402790
59,ALIGARH PS,,LODHA,so-lodha.al@up.gov.in,9454402791
60,ALIGARH PS,,MADRAK,so-madrak.al@up.gov.in,9454402792
61,ALIGARH PS,,MAHILA THANA,so-mahilathana.al@up.gov.in,9454404757
62,ALIGARH PS,,PISAWA,so-pisawa.al@up.gov.in,9454402794
63,ALIGARH PS,,PALIMUKIMPUR,so-palimukimpur.al@up.gov.in,9454402793
64,ALIGARH PS,,GABHANA,so-gabhana.al@up.gov.in,9454402782
65,ALIGARH PS,,HARDUAGANJ,so-harduaganj.al@up.gov.in,9454402785
66,ALIGARH PS,,IGLAS,so-iglas.al@up.gov.in,9454402786
67,ALIGARH PS,,JAWAN,so-jawan.al@up.gov.in,9454402787
68,ALIGARH PS,,KHAIR,so-khair.al@up.gov.in,9454402788
69,ALIGARH PS,,KOTWALI NAGAR,so-kotwalinagar.al@up.gov.in,9454402789
70,ALIGARH PS,,CHHARRA,so-chharra.al@up.gov.in,9454402777
71,ALIGARH PS,,DADON,so-dadon.al@up.gov.in,9454402779
72,ALIGARH PS,,DELHI GATE,so-delhigate.al@up.gov.in,9454402780
73,ALIGARH PS,,GANDHI PARK,so-gandhipark.al@up.gov.in,9454402783
74,ALIGARH PS,,GANGIRI,so-gangiri.al@up.gov.in,9454402781
75,ALIGARH PS,,GAUNDA,so-gonda.al@up.gov.in,9454402784
76,AMBEDKAR NAGAR PS,,ALAPUR,sho-alapur.an@up.gov.in,9454402865
77,AMBEDKAR NAGAR PS,,AKBARPUR,sho-akbarpur.an@up.gov.in,9454402864
78,AMBEDKAR NAGAR PS,,BHITI,sho-bhiti.an@up.gov.in,9454402868
79,AMBEDKAR NAGAR PS,,AHIRAULI,sho-ahirauli.an@up.gov.in,9454402866
80,AMBEDKAR NAGAR PS,,ALIGANJ,sho-aliganj.an@up.gov.in,9454402879
81,AMBEDKAR NAGAR PS,,BASKHARI,sho-baskhari.an@up.gov.in,9454402867
82,AMBEDKAR NAGAR GRP PS,,GRP AKBARPUR,Not Available,9454404426
83,AMBEDKAR NAGAR PS,,MAHARUAA,sho-maharuawa.an@up.gov.in,9454402880
84,AMBEDKAR NAGAR PS,,MALIPUR,sho-malpur.an@up.gov.in,9454402874
85,AMBEDKAR NAGAR PS,,MAHILA THANA,sho-mahila.an@up.gov.in,9454404770
86,AMBEDKAR NAGAR PS,,RAJESULTANPUR,sho-rajesultanpur.an@up.gov.in,9454402875
87,AMBEDKAR NAGAR PS,,SAMMANPUR,sho-sammanpur.an@up.gov.in,9454402876
88,AMBEDKAR NAGAR PS,,TANDA,sho-tanda.an@up.gov.in,9454402878
89,AMBEDKAR NAGAR PS,,BEWANA,sho-bewana.an@up.gov.in,9454402877
90,AMBEDKAR NAGAR PS,,IBRAHIMPUR,sho-ibrahimpur.an@up.gov.in,9454402870
91,AMBEDKAR NAGAR PS,,HANSWAR,sho-hanswar.an@up.gov.in,9454402869
92,AMBEDKAR NAGAR PS,,JAHANGIRGANJ,sho-jahagirganj.an@up.gov.in,9454402872
93,AMBEDKAR NAGAR PS,,JAITPUR,sho-jaitpur.an@up.gov.in,9454402873
94,AMBEDKAR NAGAR PS,,JALALPUR,sho-jalalpur.an@up.gov.in,9454402871
95,AMETHI PS,,GAURIGANJ,so-gauriganj.am@up.gov.in,9454404333
96,AMETHI PS,,MUNSHIGANJ,so-munshiganj.am@up.gov.in,9454404348
97,AMETHI PS,,JAMO,so-jamo.am@up.gov.in,9454404338
98,AMETHI PS,,AMETHI,so-amethi.am@up.gov.in,9454404327
99,AMETHI PS,,SANGRAMPUR,so-sangrampur.am@up.gov.in,9454404351
100,AMETHI PS,,PIPARPUR,so-piparpur.am@up.gov.in,9454404350
101,AMETHI PS,,FURSATGANJ,so-fursatganj.am@up.gov.in,9454404129
102,AMETHI PS,,SHIVRATANGANJ,so-shivratanganj.am@up.gov.in,9454404146
103,AMETHI PS,,MAHILA THANA,so-mahilathana.am@up.gov.in,9454457922
104,AMETHI PS,,MUSAFIRKHANA,so-musafirkhana.am@up.gov.in,9454404349
105,AMETHI PS,,BAZARSHUKUL,so-bazarshukul.am@up.gov.in,9454404329
106,AMETHI PS,,JAGDISHPUR,so-jagdishpur.am@up.gov.in,9454404336
107,AMETHI PS,,KAMRAULI,so-kamrauli.am@up.gov.in,9454404340
108,AMETHI PS,,JAYAS,so-jayas.am@up.gov.in,9454404135
109,AMETHI PS,,MOHANGANJ,so-mohanganj.am@up.gov.in,9454404140
110,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA KASGANJ,so-aptkasganj.kg@up.gov.in,8887155077
111,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA CHITRAKOOT,so-antipowertheft.ct@up.gov.in,8887154800
112,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA HATHRAS,so-apt.ht@up.gov.in,8887155003
113,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA JYOTIBAPHULLEYNAGAR,so-aptamroha.jp@up.gov.in,9410683847
114,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA CHANDAULI,so-aptchandauli.cd@up.gov.in,8887154790
115,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA GAUTAM BUDH NAGAR,sho-apt.gb@up.gov.in,9454402689
116,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA BHADOHI,anti-power.sr@up.gov.in,8887154722
117,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA SAMBHAL,so-aptsambhal.sb@up.gov.in,8887156021
118,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA HAPUR,so-antipowertheft.hp@up.gov.in,9454402690
119,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA SHAMLI,so-antipowertheft.sm@up.gov.in,8887156224
120,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA KANPUR DEHAT,so-antitheft.kd@up.gov.in,9454402695
121,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA KUSHI NAGAR,sho-antipower.ku@up.gov.in,8887155228
122,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA FIROZABAD,so-aptfirozabad.fi@up.gov.in,8887154843
123,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA GHAZIABAD,so-aptt.gz@up.gov.in,9454402688
124,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA RAE BARELI,so-antipowertheft.rb@up.gov.in,8887155851
125,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA MEERUT,so-antipowertheft.me@up.gov.in,9454402700
126,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA MUZAFFAR NAGAR,so-apt.mu@up.gov.in,9454402703
127,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA JAUNPUR,so-antipowertheft.ju@up.gov.in,8887155040
128,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA JHANSI,so-antipowertheft.jh@up.gov.in,8887155061
129,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA MAINPURI,so-apt.mp@up.gov.in,8887155406
130,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA GHAZIPUR,so-antipowertheft.gp@up.gov.in,8887154932
131,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA HAMIRPUR,so-antipowertheft.hm@up.gov.in,8887154953
132,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA JALAUN,so-apt.jl@up.gov.in,8887155006
133,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA ETAWAH,so-apt.ew@up.gov.in,8887154814
134,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA BAREILLY,so-apt.bry@up.gov.in,8887154702
135,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA ALIGARH,so-antipwrtft.al@up.gov.in,8887154653
136,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA PRAYAGRAJ,so-apt.ah@nic.in,8887154654
137,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA BALLIA,so-antipowertheft.bl@up.gov.in,
,,,,,8887154691
138,ANTI POWER THEFT APT PS,,ANTI POWER THEFT THANA AGRA,so-antipowertheft.ag@up.gov.in,9454402675
139,AURAIYA PS,,MAHILA THANA,so-mahilathana.au@up.gov.in,9454404872
140,AURAIYA PS,,ACHHALDA,so-achhalda.au@up.gov.in,9454402881
141,AURAIYA PS,,AJITMAL,so-ajeetmal.au@up.gov.in,9454402882
142,AURAIYA PS,,AIRWA KATRA,so-airwakatra.au@up.gov.in,9454402888
143,AURAIYA PS,,AURAIYA,so-auraiya.au@up.gov.in,9454402883
144,AURAIYA PS,,AYANA,so-ayana.au@up.gov.in,9454402884
145,AURAIYA PS,,BELA,so-bela.au@up.gov.in,9454402885
146,AURAIYA PS,,BIDHUNA,so-bidhuna.au@up.gov.in,9454402886
147,AURAIYA PS,,DIBIYAPUR,so-dibiyapur.au@up.gov.in,9454402887
148,AURAIYA PS,,PHAPHOOND,so-phaphund.au@up.gov.in,9454402889
149,AURAIYA PS,,SAHAYAL,so-sahayal.au@up.gov.in,9454402890
150,AYODHYA PS,,KOTWALI AYODHYA,sho-kotayodhya.ay@up.gov.in,9454403296
151,AYODHYA PS,,KOTWALI BIKAPUR,sho-kotbikapur.ay@up.gov.in,9454403297
152,AYODHYA PS,,CANTT,sho-cantt.ay@up.gov.in,9454403298
153,AYODHYA PS,,GOSAINGANJ,sho-gosaiganj.ay@up.gov.in,9454403299
154,AYODHYA PS,,HAIDERGANJ,sho-haiderganj.ay@up.gov.in,9454403300
155,AYODHYA PS,,INAYATNAGAR,sho-inshotnagar.ay@up.gov.in,9454403301
156,AYODHYA GRP PS,,GRP FAIZABAD,Not Available,9454404406
157,AYODHYA PS,,PURAKALANDAR,sho-purakalander.ay@up.gov.in,9454403309
158,AYODHYA PS,,PATRANGA,sho-patranga.ay@up.gov.in,9454403308
159,AYODHYA PS,,RAUNAHI,sho-raunahi.ay@up.gov.in,9454403311
160,AYODHYA PS,,RAMJANAM BHUMI,sho-rjb.ay@up.gov.in,9454403310
161,AYODHYA PS,,TARUN,sho-tarun.ay@up.gov.in,9454403313
162,AYODHYA PS,,MAHILA THANA,sho-mahilathana.ay@up.gov.in,9454403306
163,AYODHYA PS,,MAWAI,sho-mawai.ay@up.gov.in,9454403307
164,AYODHYA PS,,KHANDASA,sho-khandasa.ay@up.gov.in,9454403302
165,AYODHYA PS,,KOTWALI NAGAR,sho-kotnagar.ay@up.gov.in,9454403303
166,AYODHYA PS,,KUMARGANJ,sho-kumarganj.ay@up.gov.in,9454403304
167,AYODHYA PS,,MAHRAJGANJ,sho-mahrajganj.ay@up.gov.in,9454403305
168,AYODHYA PS,,KOTWALI RUDAULI,sho-kotrudauli.ay@up.gov.in,9454403312
169,AZAMGARH PS,,AHRAULA,so-ahiraula.az@up.gov.in,9454402903
170,AZAMGARH PS,,ATRAULIA,so-atraulia.az@up.gov.in,9454402904
171,AZAMGARH PS,,BARDAH,so-bardah.az@up.gov.in,9454402905
172,AZAMGARH PS,,BILARIYAGANJ,so-bilariyaganj.az@up.gov.in,9454402906
173,AZAMGARH PS,,DEOGAON,so-deogaon.az@up.gov.in,9454402908
174,AZAMGARH PS,,DIDARGANJ,so-didarganj.az@up.gov.in,8299464401
175,AZAMGARH PS,,TAHABARPUR,so-tahbarpur.az@up.gov.in,9454402926
176,AZAMGARH PS,,MAHILA THANA,so-mahilathana.az@up.gov.in,9454404772
177,AZAMGARH GRP PS,,GRP AZAMGARH,so-grp.az@up.gov.in,9454404442
178,AZAMGARH AHTU PS,,ANTI-HUMAN TRAFFICKING UNIT,so-ahtu.az@up.gov.in,7839854419
179,AZAMGARH PS,,PAWAI,so-pawai.az@up.gov.in,9454402920
180,AZAMGARH PS,,RANI-KI-SARAI,so-ranikisarai.az@up.gov.in,9454402922
181,AZAMGARH PS,,RAUNAPAR,so-raunapar.az@up.gov.in,9454402923
182,AZAMGARH PS,,SIDHARI,so-sidhari.az@up.gov.in,9454402925
183,AZAMGARH PS,,SARAIMEER,so-saraimeer.az@up.gov.in,9454402924
184,AZAMGARH PS,,TARWA,so-tarwan.az@up.gov.in,9454402927
185,AZAMGARH PS,,MEHNAJPUR,so-mehnajpur.az@up.gov.in,9454402917
186,AZAMGARH PS,,MAHRAJGANJ,so-mahrajganj.az@up.gov.in,9454402915
187,AZAMGARH PS,,MUBARKPUR,so-mubarakpur.az@up.gov.in,9454402918
188,AZAMGARH PS,,MEHNAGAR,so-mehnagar.az@up.gov.in,9454402916
189,AZAMGARH PS,,NIZAMABAD,so-nizamabad.az@up.gov.in,9454402919
190,AZAMGARH PS,,PHOOL PUR,so-phoolpur.az@up.gov.in,9454402921
191,AZAMGARH PS,,GAMBHIRPUR,so-gambhirpur.az@up.gov.in,9454402909
192,AZAMGARH PS,,JEANPUR,so-jeyanpur.az@up.gov.in,9454402911
193,AZAMGARH PS,,JAHANAGANJ,so-jahanaganj.az@up.gov.in,9454402910
194,AZAMGARH PS,,KANDHRAPUR,so-kandhrapur.az@up.gov.in,9454402912
195,AZAMGARH PS,,KOTWALI,so-kotwali.az@up.gov.in,9454402914
196,AZAMGARH PS,,KAPTANGANJ,so-kaptanganj.az@up.gov.in,9454402913
197,BADAUN PS,,ALAPUR,so-alapur.bd@up.gov.in,9454402930
198,BADAUN PS,,BILSI,so-bilsi.bd@up.gov.in,9454402932
199,BADAUN PS,,BINAWAR,so-binawar.bd@up.gov.in,9454402931
200,BADAUN PS,,BISAULI,so-bisauli.bd@up.gov.in,9454402933
201,BADAUN PS,,CIVIL LINES,so-civilline.bd@up.gov.in,9454402934
202,BADAUN PS,,DATAGANJ,so-dataganj.bd@up.gov.in,9454402935
203,BADAUN PS,,USAWAN,so-usawan.bd@up.gov.in,9454402951
204,BADAUN PS,,WAZIRGANJ,so-wazeerganj.bd@up.gov.in,9454402952
205,BADAUN PS,,ZARIF NAGAR,so-zarifnagar.bd@up.gov.in,9454402953
206,BADAUN PS,,MAHILA THANA,so-mahilathana.bd@up.gov.in,9454404775
207,BADAUN GRP PS,,GRP BADAUN,so-grp.bd@up.gov.in,9454404453
208,BADAUN PS,,QADAR CHOWK,so-kadarchowk.bd@up.gov.in,9454402941
209,BADAUN PS,,MOOSA JHAG,so-musajhag.bd@up.gov.in,9454402945
210,BADAUN PS,,SAHASWAN,so-sahaswan.bd@up.gov.in,9454402947
211,BADAUN PS,,UGHAITI,so-ugeti.bd@up.gov.in,9454402948
212,BADAUN PS,,UJHANI,so-ujhani.bd@up.gov.in,9454402949
213,BADAUN PS,,USHAIT,so-usait.bd@up.gov.in,9454402950
214,BADAUN PS,,FAIZ GANJ BEHATA,so-faizganj.bd@up.gov.in,9454402937
215,BADAUN PS,,HAZARATPUR,so-hazratpur.bd@up.gov.in,9454402939
216,BADAUN PS,,ISLAM NAGAR,so-islamnagar.bd@up.gov.in,9454402940
217,BADAUN PS,,KUNWAR GAON,so-kunwargaon.bd@up.gov.in,9454402943
218,BADAUN PS,,KOTWALI,so-kotwali.bd@up.gov.in,9454402942
219,BADAUN PS,,MUJARIYA,so-mujaria.bd@up.gov.in,9454402944
220,BAGHPAT PS,,RAMALA,so-ramala.bg@up.gov.in,9454402967
221,BAGHPAT AHTU PS,,ANTI-HUMAN TRAFFICKING UNIT,so-ahtu.bg@up.gov.in,9454401030
222,BAGHPAT PS,,BINAULI,so-binauli.bg@up.gov.in,9454402962
223,BAGHPAT PS,,CHANDI NAGAR,so-chandinagar.bg@up.gov.in,9454402963
224,BAGHPAT PS,,CHHAPRAULI,so-chhaprauli.bg@up.gov.in,9454402964
225,BAGHPAT PS,,DOGHAT,so-doghat.bg@up.gov.in,9454402965
226,BAGHPAT PS,,KHEKRA,so-khekra.bg@up.gov.in,9454402966
227,BAGHPAT PS,,MAHILA THANA,so-mahilathana.bg@up.gov.in,9454404783
228,BAGHPAT PS,,SINGHAWLI AHIR,so-singhawliahir.bg@up.gov.in,9454402958
229,BAGHPAT PS,,BAGHPAT,so-baghpat.bg@up.gov.in,9454402959
230,BAGHPAT PS,,BALENI,so-baleni.bg@up.gov.in,9454402960
231,BAGHPAT PS,,BARAUT,so-baraut.bg@up.gov.in,9454402961
232,BAHRAICH PS,,MAHILA THANA,sho-mahilathana.bh@up.gov.in,9454404893
233,BAHRAICH PS,,BAUNDI,sho-baundi.bh@up.gov.in,9454402968
234,BAHRAICH PS,,FAKHARPUR,sho-fakharpur.bh@up.gov.in,9454402970
235,BAHRAICH PS,,HARDI,sho-hardi.bh@up.gov.in,9454402971
236,BAHRAICH PS,,HUZOORPUR,sho-huzurpur.bh@up.gov.in,9454402972
237,BAHRAICH PS,,MATERA,sho-matera.bh@up.gov.in,9454404987
238,BAHRAICH PS,,RUPAI DIHA,sho-rupaidiha.bh@up.gov.in,9454402986
239,BAHRAICH PS,,SUJAULI,sho-sujuali.bh@up.gov.in,9454402987
240,BAHRAICH PS,,RISIA,sho-risia.bh@up.gov.in,9454402985
241,BAHRAICH PS,,VISHESHARGANJ,sho-vishesharganj.bh@up.gov.in,9454402988
242,BAHRAICH GRP PS,,GRP BAHRAICH,Not Available,9454404438
243,BAHRAICH PS,,MURTIHA,sho-murtiha.bh@up.gov.in,9454402979
244,BAHRAICH PS,,NAWABGANJ,sho-nawabganj.bh@up.gov.in,9454402981
245,BAHRAICH PS,,NANPARA,sho-nanpara.bh@up.gov.in,9454402980
246,BAHRAICH PS,,PAYAGPUR,sho-payagpur.bh@up.gov.in,9454402982
247,BAHRAICH PS,,RAMGAON,sho-ramgaon.bh@up.gov.in,9454402983
248,BAHRAICH PS,,RANIPUR,sho-ranipur.bh@up.gov.in,9454402984
249,BAHRAICH PS,,JARWAL ROAD,sho-jarwalroad.bh@up.gov.in,9454402973
250,BAHRAICH PS,,KAISHERGANJ,sho-kaiserganj.bh@up.gov.in,9454402974
251,BAHRAICH PS,,KHAIRIGHAT,sho-khairighat.bh@up.gov.in,9454402975
252,BAHRAICH PS,,KOTWALI NAGAR,sho-kotwalinagar.bh@up.gov.in,9454402976
253,BAHRAICH PS,,KOTWALI DEHAT,sho-kotwalidehat.bh@up.gov.in,9454402977
254,BAHRAICH PS,,MOTIPUR,sho-motipur.bh@up.gov.in,9454402978
255,BALLIA PS,,UBHAON,so-ubhav.bl@up.gov.in,9454403010
256,BALLIA PS,,KHEJURI,so-khejuri.bl@up.gov.in,9454402999
257,BALLIA GRP PS,,GRP BALLIYA,so-grp.bl@up.gov.in,9454404773
258,BALLIA AHTU PS,,ANTI-HUMAN TRAFFICKING UNIT,so-ahtu.bl@up.gov.in,9452776154
259,BALLIA PS,,PHEPHNA,so-phephna.bl@up.gov.in,9454402996
260,BALLIA PS,,RASRA,so-rasra.bl@up.gov.in,9454403005
261,BALLIA PS,,REOTI,so-reoti.bl@up.gov.in,9454403006
262,BALLIA PS,,SAHATWAR,so-sahatwar.bl@up.gov.in,9454403007
263,BALLIA PS,,SIKANDERPUR,so-sikandarpur.bl@up.gov.in,9454403008
264,BALLIA PS,,SUKHPURA,so-sukhpura.bl@up.gov.in,9454403009
265,BALLIA PS,,HALDI,so-haldi.bl@up.gov.in,9454402998
266,BALLIA PS,,KOTWALI,so-kotwali.bl@up.gov.in,9454403000
267,BALLIA PS,,MANIAR,so-maniar.bl@up.gov.in,9454403001
268,BALLIA PS,,NAGRA,so-nagra.bl@up.gov.in,9454403002
269,BALLIA PS,,NARHI,so-narhi.bl@up.gov.in,9454403003
270,BALLIA PS,,PAKARI,so-pakari.bl@up.gov.in,9454403004
271,BALLIA PS,,BHIMPURA,so-bhimpura.bl@up.gov.in,9454402992
272,BALLIA PS,,BANSDEEH ROAD,so-bansdeehroad.bl@up.gov.in,9454402991
273,BALLIA PS,,CHITWARA GOAN,so-chitwaragaon.bl@up.gov.in,9454402993
274,BALLIA PS,,DOKATI,so-dokati.bl@up.gov.in,9454402994
275,BALLIA PS,,GADWAR,so-garwar.bl@up.gov.in,9454402997
276,BALLIA PS,,DUBHAR,so-dubhar.bl@up.gov.in,9454402995
277,BALLIA PS,,MAHILA THANA,so-mahilathana.bl@up.gov.in,9454404443
278,BALLIA PS,,BAIRIA,so-bairia.bl@up.gov.in,9454402989
279,BALLIA PS,,BANSDEEH,so-bansdeeh.bl@up.gov.in,9454402990
280,BALRAMPUR PS,,KOTWALI NAGAR,so-kotwalinagar.bp@up.gov.in,9454403019
281,BALRAMPUR PS,,KOTWALI DEHAT,so-kotwalidehat.bp@up.gov.in,9454403020
282,BALRAMPUR PS,,MAHARAJGANJ TARAI,so-mjganjtarai.bp@up.gov.in,7355128133
283,BALRAMPUR PS,,GAURA CHAURAHA,so-gaurachauraha.bp@up.gov.in,9454403022
284,BALRAMPUR PS,,TULSIPUR,so-tulsipur.bp@up.gov.in,9454403030
285,BALRAMPUR PS,,GAISRI,so-gaisari.bp@up.gov.in,9454403021
286,BALRAMPUR PS,,SADULLA NAGAR,so-sadullanagar.bp@up.gov.in,9454403029
287,BALRAMPUR PS,,MAHILA THANA,so-mahilathana.bp@up.gov.in,9454404895
288,BALRAMPUR AHTU PS,,ANTI-HUMAN TRAFFICKING UNIT,so-ahtu.bp@up.gov.in,8299730372
289,BALRAMPUR PS,,JARWA,so-kotwalijarwa.bp@up.gov.in,6394562807
290,BALRAMPUR PS,,PANCHPERWA,so-panchperwa.bp@up.gov.in,9454403027
291,BALRAMPUR PS,,HARRIYA,so-harriya.bp@up.gov.in,9454403023
292,BALRAMPUR PS,,LALIA,so-laliya.bp@up.gov.in,9935101987
293,BALRAMPUR PS,,UTRAULA,so-utraula.bp@up.gov.in,9454403031
294,BALRAMPUR PS,,REHRA BAZAR,so-reherabazar.bp@up.gov.in,9454403028
295,BANDA PS,,ATARRA,so-atarra.bn@up.gov.in,9454403032
296,BANDA PS,,BABERU,so-baberu.bn@up.gov.in,9454403033
297,BANDA PS,,BADAUSA,so-badosha.bn@up.gov.in,9454403034
298,BANDA PS,,BISANDA,so-bisanda.bn@up.gov.in,9454403035
299,BANDA PS,,CHILLA,so-chilla.bn@up.gov.in,9454403036
300,BANDA PS,,FATEHGANJ,so-fatehganj.bn@up.gov.in,9454403037
301,BANDA GRP PS,,GRP BANDA,Not Available,9454404466
302,BANDA PS,,MARKA,so-marka.bn@up.gov.in,9454403044
303,BANDA PS,,MATAUNDH,so-matondh.bn@up.gov.in,9454403045
304,BANDA PS,,NARAINI,so-naraini.bn@up.gov.in,9454403046
305,BANDA PS,,PAILANI,so-pailani.bn@up.gov.in,9454403047
306,BANDA PS,,TINDWARI,so-tindwari.bn@up.gov.in,9454403048
307,BANDA PS,,MAHILA THANA,so-mahilathana.bn@up.gov.in,9454404778
308,BANDA PS,,GIRWAN,so-girwan.bn@up.gov.in,9454403038
309,BANDA PS,,JASPURA,so-jaspura.bn@up.gov.in,9454403039
